ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"81.95.232.73","elite","AS12365","UZ","Sarkor-Telecom Co","97","N/A","3128","http","125","188","2023-05-01T04:07:16.360Z","94","1356","1439"
"203.112.134.74","elite","AS140641","IN","Yotta Network Services Private Limited","120","Yotta Network Services Private Limited","5678","socks4","44","1","2023-05-01T04:07:16.462Z","100","1554","1555"
"154.247.56.229","elite","AS36947","DZ","new","50","N/A","3128","socks4","142","1","2023-05-01T04:07:16.195Z","46","665","1450"
"191.6.133.22","elite","AS263305","BR","NET.COM TELECOMUNICACOES EIRELI","225","RCS TELECOMUNICACOES LTDA","4145","socks4","66","1","2023-05-01T04:07:16.017Z","96","1499","1554"
"135.181.140.218","elite","AS24940","FI","Hetzner Online GmbH","38","Hetzner","31723","socks4","67","1","2023-05-01T04:07:16.843Z","100","1551","1552"
"213.89.48.95","elite","AS1257","SE","CHELLO","52","Com Hem AB","1080","socks4","168","1","2023-05-01T04:07:16.156Z","95","1443","1521"
"113.161.212.130","elite","AS45899","VN","VietNam Post and Telecom Corporation","174","Vietnam Posts and Telecommunications Group","1080","socks4","60","1","2023-05-01T04:07:16.461Z","96","1496","1557"
"43.157.52.37","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","10","Tencent Cloud Computing","443","socks5","40","1","2023-05-01T04:07:16.338Z","66","990","1510"
"194.28.56.49","elite","AS57803","RU","TeleServise Ltd","62","TeleServis Ltd","3629","socks4","149","1","2023-05-01T04:07:16.166Z","96","1501","1558"
"190.109.72.244","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","199","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","189","1","2023-05-01T04:07:16.972Z","99","1500","1515"
"93.171.224.48","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","52","PE TV and Radio Company Kentavr-TV","4153","socks4","43","1","2023-05-01T04:07:16.069Z","99","1503","1520"
"171.244.140.160","elite","AS38731","VN","VIETEL","184","Viettel Corporation","38811","socks5","57","1","2023-05-01T04:07:15.774Z","100","1548","1553"
"186.235.187.14","elite","AS61888","BR","GFT COMERCIO DE TELEFONIA E COMUNICACAO LTDA","147","Avil Tecidos Recife Ltda","4153","socks4","71","1","2023-05-01T04:07:15.714Z","100","1516","1519"
"179.107.52.103","elite","AS263284","BR","Topmega Internet e InformÔtica LTDA -ME","232","Topmega Internet e Informática LTDA -ME","4153","socks4","49","1","2023-05-01T04:07:15.067Z","89","1291","1452"
"78.31.93.76","elite","AS30813","PL","Fione Spolka z Ogranicznona Odpowiedzialnoscia Spolka Komandytowa","32","Ostrog.Net","1080","socks4","76","1","2023-05-01T04:07:15.704Z","100","1553","1558"
"190.226.241.68","elite","AS264691","AR","Servicoop S.A.","260","Servicoop S.A","3629","socks4","158","1","2023-05-01T04:07:15.522Z","99","1504","1512"
"91.90.180.185","anonymous","AS31242","PL","3S S.A. LIR","42","3S S.A","8080","http","41","144","2023-05-01T04:07:15.368Z","100","1438","1438"
"45.196.151.134","elite","AS7018","US","AT&T Services","86","AQUA Networks Limited","5432","socks4","98","1","2023-05-01T04:07:15.223Z","97","1454","1498"
"182.253.182.38","elite","AS17451","ID","BIZNET","199","N/A","5678","socks4","36","1","2023-05-01T04:07:15.318Z","94","1359","1442"
"45.112.127.140","anonymous","AS58369","ID","FIBERNET","202","N/A","3179","http","62","483","2023-05-01T04:07:15.626Z","99","1434","1443"
"109.122.88.194","elite","AS41937","RS","RADIJUS VEKTOR Internet network","31","N/A","5678","socks4","157","1","2023-05-01T04:07:15.053Z","100","1556","1557"
"103.130.112.129","elite","AS138336","BD","The Potato","237","N/A","5678","socks4","49","1","2023-05-01T04:07:15.145Z","92","1434","1557"
"194.85.135.243","elite","AS3216","RU","PJSC \"Vimpelcom\"","70","PJSC \"Vimpelcom\"","4145","socks4","94","1","2023-05-01T04:07:15.600Z","93","1416","1528"
"93.91.118.141","elite","AS47562","RU","Fast Link Ltd.","48","N/A","3629","socks4","82","1","2023-05-01T04:07:15.683Z","99","1534","1555"
"103.116.118.10","elite","AS137884","BD","Gazipur Network System","194","N/A","4145","socks4","38","1","2023-05-01T04:07:15.777Z","96","1499","1557"
"80.80.167.241","elite","AS21246","XK","IPKO-PPANP","40","N/A","10801","socks4","56","1","2023-05-01T04:07:15.778Z","100","1558","1559"
"185.199.84.161","elite","AS205968","CZ","GeneralNet s.r.o.","35","Highspeed","53281","http","76","79","2023-05-01T04:07:14.523Z","100","1439","1443"
"193.124.189.13","elite","AS209641","RU","I-servers LTD","51","I-servers LTD","80","socks4","196","1","2023-05-01T04:07:14.993Z","99","1477","1485"
"177.36.185.179","elite","AS53062","BR","Ggnet Telecom Backbone","220","Ggnet Telecom Backbone","5678","socks4","262","1","2023-05-01T04:07:14.494Z","99","1540","1549"
"72.221.171.130","elite","AS22773","US","Cox Communications Inc.","151","Cox Communications","4145","socks5","44","1","2023-05-01T04:07:14.868Z","87","1254","1443"
"36.89.156.150","anonymous","AS7713","ID","PT. Telekomunikasi Indonesia","224","Telekomunikasi Indonesia","8080","http","53","485","2023-05-01T04:07:14.170Z","99","1513","1536"
"185.51.92.84","elite","AS202170","PT","BLU, S.A.","43","SouthNetwork1","51327","socks4","371","1","2023-05-01T04:07:14.278Z","98","1411","1443"
"203.80.190.162","elite","AS38592","BD","Chittagong Online Limited","161","CTGONLINENET","8080","socks4","167","1","2023-05-01T04:07:14.408Z","97","1475","1522"
"82.103.116.126","elite","AS8717","BG","A1 Bulgaria EAD","47","A1 Bulgaria EAD","4153","socks4","250","1","2023-05-01T04:07:14.407Z","100","1553","1558"
"85.99.122.164","elite","AS47331","TR","TurkTelecom","63","Turk Telekomunikasyon A.S","4153","socks4","119","1","2023-05-01T04:07:14.262Z","100","1514","1516"
"103.114.35.31","elite","AS137360","ID","Universitas Muhammadiyah Surabaya","184","Universitas Muhammadiyah Surabaya","3629","socks4","88","1","2023-05-01T04:07:14.446Z","99","1546","1557"
"38.127.172.219","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","55994","socks5","106","1","2023-05-01T04:07:14.269Z","100","1467","1470"
"138.0.229.232","elite","AS263725","HN","Multicable De Honduras","121","Multicable De Honduras","4153","socks4","42","1","2023-05-01T04:07:14.544Z","96","1498","1558"
"103.47.93.204","elite","AS134058","IN","Broban Internet Services Pvt.ltd","151","Broban  PVT Ltd.","1080","socks4","68","1","2023-05-01T04:07:14.994Z","99","1547","1558"
"102.64.116.1","elite","AS328500","CG","A.M.C Telecom","156","A.M.C Telecom","4145","socks4","306","1","2023-05-01T04:07:14.475Z","97","1511","1558"
"103.245.164.78","anonymous","AS56309","TH","Siamdata Communication Co.","190","Siamdata (Lao) Co., Ltd","3128","https","113","205","2023-05-01T04:07:14.582Z","99","1479","1499"
"178.132.168.77","elite","AS8926","MD","JSC \"Moldtelecom\" S.A","47","JSC Moldtelecom S.A.","5678","socks4","96","1","2023-05-01T04:07:14.242Z","100","1511","1516"
"189.2.127.243","elite","AS4230","BR","Claro S.A","256","PEMAZA Centro Norte SA","4153","socks4","54","1","2023-05-01T04:07:14.473Z","98","1530","1555"
"186.251.255.45","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","216","Seanet Telecom Carazinho Eireli","31337","socks4","301","1","2023-05-01T04:07:13.214Z","100","1542","1547"
"138.201.192.217","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","9051","socks4","47","1","2023-05-01T04:07:13.332Z","24","379","1556"
"47.243.138.23","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","265","Alibaba.com LLC","8888","socks5","51","1","2023-05-01T04:07:13.997Z","39","605","1559"
"153.3.42.221","elite","AS4837","CN","China Unicom Jiangsu Province Network","189","N/A","1080","socks4","77","1","2023-05-01T04:07:13.625Z","97","1478","1516"
"118.99.87.125","elite","AS17451","ID","BIZNET","173","N/A","5678","socks4","410","1","2023-05-01T04:07:13.333Z","71","1027","1439"
"185.86.5.162","elite","AS29262","TR","Ideal Hosting Teknoloji","48","iDeal","8975","socks4","122","1","2023-05-01T04:07:13.032Z","100","1555","1558"
"94.198.213.252","elite","AS49979","IT","La Wireless","48","N/A","5678","socks4","173","1","2023-05-01T04:07:13.622Z","100","1552","1557"
"189.201.191.67","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","138","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","54","1","2023-05-01T04:07:13.624Z","100","1510","1517"
"31.173.193.34","elite","AS31163","RU","Caucasus Branch of OJSC MegaFon","101","MF KF Mob Corp","5678","socks4","89","1","2023-05-01T04:07:13.684Z","64","986","1543"
"170.254.255.231","elite","AS52584","BR","Connect Fibra","203","Connect Fibra","45816","socks4","146","1","2023-05-01T04:07:13.597Z","98","1527","1556"
"115.160.160.38","elite","AS9381","HK","HKBN Enterprise Solutions HK Limited","190","HKBNES","3128","socks4","85","1","2023-05-01T04:07:13.623Z","100","1541","1548"
"113.11.136.28","elite","AS9326","ID","CENTRIN","172","N/A","30993","socks4","290","1","2023-05-01T04:07:13.588Z","79","1199","1524"
"91.209.114.78","elite","AS12301","HU","Invitech","32","Techno-Tel Kft","5678","socks4","408","1","2023-05-01T04:07:13.476Z","99","1460","1471"
